"parkingSpaces","size","alarmSystem","gameRoom","furnished","securityCabin","pipedGas","propertyPrice","playGround","swimmingPool","barbecueGrill","score","latitude","longitude","bedrooms","monthlyFees","rentalPrice","propertyType","steamRoom","gym","neighborhood","id","suites","permanentDoorman","m2RentalPrice","link"
1,85,"False","False","False","False","True",0,"False","False","False",122,-19.9197522,-43.9619299,2,425,1400,"apartamento","False","False","prado",700103,0,"False",16.4705882352941,"https://www.netimoveis.com/imovel/dummy/700103"
2,100,"False","True","False","False","False",0,"False","False","False",122,-19.9524834,-43.9311023,3,994.92,1500,"apartamento","False","False","sion",658731,1,"True",15,"https://www.netimoveis.com/imovel/dummy/658731"
2,100,"False","False","False","False","True",0,"False","False","False",122,-19.9684972,-43.9717381,3,260,1550,"apartamento","False","False","buritis",690063,1,"False",15.5,"https://www.netimoveis.com/imovel/dummy/690063"
2,100,"False","False","False","False","True",0,"False","False","False",122,-19.9684972,-43.9717381,3,260,1550,"apartamento","False","False","estoril",690063,1,"False",15.5,"https://www.netimoveis.com/imovel/dummy/690063"
1,100,"False","False","False","False","False",0,"False","False","False",122,-19.9435179,-43.9304466,3,376,1800,"apartamento","False","False","carmo",673791,0,"False",18,"https://www.netimoveis.com/imovel/dummy/673791"
1,106,"False","False","False","False","False",0,"False","False","False",122,-19.9476109,-43.922341,4,310.35,1800.94,"apartamento","False","False","anchieta",650720,1,"False",16.99,"https://www.netimoveis.com/imovel/dummy/650720"
2,85,"False","False","False","True","True",0,"True","False","True",122,-19.9763904,-43.976389,3,418.34,2000,"apartamento","True","True","buritis",689889,1,"True",23.5294117647059,"https://www.netimoveis.com/imovel/dummy/689889"
2,75,"True","False","False","False","True",0,"False","True","True",122,-19.9320234,-43.9290259,2,500,3000,"apartamento","True","True","funcionarios",675670,2,"False",40,"https://www.netimoveis.com/imovel/dummy/675670"
2,75,"True","False","False","False","True",0,"False","True","True",122,-19.9320234,-43.9290259,2,500,3000,"apartamento","True","True","savassi",675670,2,"False",40,"https://www.netimoveis.com/imovel/dummy/675670"
3,139.2,"True","True","False","True","True",0,"True","True","True",122,-19.9298194,-43.9361715,4,1300,3300,"apartamento","True","False","boa-viagem",682915,1,"True",23.7068965517241,"https://www.netimoveis.com/imovel/dummy/682915"
3,139.2,"True","True","False","True","True",0,"True","True","True",122,-19.9298194,-43.9361715,4,1300,3300,"apartamento","True","False","lourdes",682915,1,"True",23.7068965517241,"https://www.netimoveis.com/imovel/dummy/682915"
1,97,"False","False","False","False","False",0,"False","True","False",122,-19.9413118,-43.93523,2,1080,3500,"apartamento","False","False","sao-pedro",590861,1,"False",36.0824742268041,"https://www.netimoveis.com/imovel/dummy/590861"
0,178,"False","True","False","False","False",0,"True","True","False",122,-19.946532,-43.9368898,4,1815,7500,"apartamento","True","True","sao-pedro",673837,2,"True",42.1348314606742,"https://www.netimoveis.com/imovel/dummy/673837"
2,75,"False","False","False","False","True",0,"False","False","False",120.5,-19.9756466,-43.9682901,2,400.24,1750,"area-privativa","False","False","buritis",431264,1,"False",23.3333333333333,"https://www.netimoveis.com/imovel/dummy/431264"
4,153,"False","False","False","False","False",1050000,"False","True","True",120,-19.9689576,-43.9707474,4,1000,2500,"apartamento","False","False","buritis",150288,2,"False",16.3398692810458,"https://www.netimoveis.com/imovel/dummy/150288"
1,65,"False","False","False","False","True",0,"False","False","False",119.14,-19.96534,-43.992564,3,230,800,"apartamento","False","False","betania",459564,0,"False",12.3076923076923,"https://www.netimoveis.com/imovel/dummy/459564"
1,60,"False","False","False","False","False",0,"False","False","False",119.14,-19.986481,-44.024596,2,40,850,"apartamento","False","False","barreiro",691056,0,"False",14.1666666666667,"https://www.netimoveis.com/imovel/dummy/691056"
1,60,"False","False","False","False","False",0,"False","False","False",119.14,-19.986481,-44.024596,2,40,850,"apartamento","False","False","diamante",691056,0,"False",14.1666666666667,"https://www.netimoveis.com/imovel/dummy/691056"
1,55,"False","False","False","False","False",0,"False","False","False",119.14,-19.978454,-43.969919,2,300,900,"apartamento","False","False","buritis",682421,0,"False",16.3636363636364,"https://www.netimoveis.com/imovel/dummy/682421"
2,65,"False","False","False","False","True",0,"False","False","False",119.14,-19.879204824558,-43.9904336994751,2,350,1200,"apartamento","False","False","paqueta",687572,1,"False",18.4615384615385,"https://www.netimoveis.com/imovel/dummy/687572"
2,90,"False","False","False","False","False",0,"False","False","False",119.14,-19.974169,-43.9776845,2,395,1200,"cobertura","False","False","buritis",697903,0,"False",13.3333333333333,"https://www.netimoveis.com/imovel/dummy/697903"
1,90,"False","False","False","False","False",0,"False","False","False",119.14,-19.953,-43.9226452,2,330,1500,"apartamento","False","False","mangabeiras",665715,1,"False",16.6666666666667,"https://www.netimoveis.com/imovel/dummy/665715"
3,85.6,"False","False","False","True","True",450000,"True","False","True",119.14,-19.9713389,-43.9706832,3,690,1600,"apartamento","False","True","buritis",677255,1,"True",18.6915887850467,"https://www.netimoveis.com/imovel/dummy/677255"
1,100,"False","False","False","False","True",0,"False","False","False",119.14,-19.9670347,-43.9711273,3,384,1600,"apartamento","False","False","buritis",700056,1,"False",16,"https://www.netimoveis.com/imovel/dummy/700056"
2,199.01,"False","False","False","False","False",0,"False","False","True",119.14,-19.9792365,-43.9658238,5,350,1600,"cobertura","False","False","buritis",42145,1,"False",8.03979699512587,"https://www.netimoveis.com/imovel/dummy/42145"
3,100.83,"False","True","False","True","True",850000,"True","True","True",119.14,-19.9762567,-43.9444798,3,1265.61,2100,"apartamento","True","True","belvedere",666180,1,"True",20.8271347813151,"https://www.netimoveis.com/imovel/dummy/666180"
3,134,"False","False","False","False","False",0,"False","True","True",119.14,-19.975538,-43.94222,4,1500,2300,"apartamento","True","True","belvedere",672909,1,"True",17.1641791044776,"https://www.netimoveis.com/imovel/dummy/672909"
3,115,"False","False","True","False","False",0,"True","True","True",119.14,-19.9726399,-43.968452,4,694.32,2400,"apartamento","False","True","buritis",689620,1,"True",20.8695652173913,"https://www.netimoveis.com/imovel/dummy/689620"
2,180,"False","False","False","False","True",0,"False","True","True",119.14,-19.971662,-43.9711147,3,233,2500,"apartamento","False","False","buritis",641555,1,"False",13.8888888888889,"https://www.netimoveis.com/imovel/dummy/641555"
2,105,"False","False","True","False","True",0,"False","False","False",119.14,-19.9789366,-43.9699917,2,515,3500,"apartamento","False","False","buritis",697511,1,"False",33.3333333333333,"https://www.netimoveis.com/imovel/dummy/697511"
3,210,"False","False","False","False","True",0,"False","False","True",119.14,-19.967212,-43.9672849,3,850,4000,"apartamento","False","False","buritis",690481,1,"False",19.047619047619,"https://www.netimoveis.com/imovel/dummy/690481"
3,164,"True","False","False","True","True",0,"False","True","False",119.14,-19.9331593389505,-43.9469513063599,4,1269.45,5000,"apartamento","True","False","lourdes",690600,1,"True",30.4878048780488,"https://www.netimoveis.com/imovel/dummy/690600"
1,42.96,"False","False","False","True","False",0,"False","False","True",118.46,-19.9709845,-43.9657841,1,525.77,1200,"apartamento","True","False","buritis",686198,0,"False",27.9329608938547,"https://www.netimoveis.com/imovel/dummy/686198"
1,58.09,"True","False","False","True","False",0,"True","False","True",118,-19.860041,-43.8913672,2,180,450,"apartamento","False","False","vitoria",605591,0,"True",7.746600103288,"https://www.netimoveis.com/imovel/dummy/605591"
0,70,"False","False","False","False","False",0,"False","False","False",118,-19.93371,-43.981135,2,200,750,"apartamento","False","False","alto-barroca",665721,0,"False",10.7142857142857,"https://www.netimoveis.com/imovel/dummy/665721"
0,70,"False","False","False","False","False",0,"False","False","False",118,-19.93371,-43.981135,2,200,750,"apartamento","False","False","nova-suissa",665721,0,"False",10.7142857142857,"https://www.netimoveis.com/imovel/dummy/665721"
0,75,"False","False","False","False","False",0,"False","False","False",118,-19.9091908,-43.9637233,2,150,800,"apartamento","False","False","carlos-prates",159596,0,"False",10.6666666666667,"https://www.netimoveis.com/imovel/dummy/159596"
1,58,"False","False","False","False","True",0,"False","False","False",118,-19.8903246,-43.9308581,3,386.32,950,"apartamento","False","False","silveira",328699,0,"True",16.3793103448276,"https://www.netimoveis.com/imovel/dummy/328699"
1,65,"False","False","False","False","True",0,"False","False","False",118,-19.9670712,-43.9650487,2,230,950,"apartamento","False","False","buritis",700428,1,"False",14.6153846153846,"https://www.netimoveis.com/imovel/dummy/700428"
1,62,"False","False","False","False","False",0,"True","False","False",118,-19.9026198,-43.9278462,2,299.51,1000,"apartamento","False","False","sagrada-familia",657156,0,"False",16.1290322580645,"https://www.netimoveis.com/imovel/dummy/657156"
1,104.32,"False","False","False","False","True",0,"False","False","False",118,-19.942411,-43.91799,3,462.87,1000,"apartamento","False","False","serra",664540,1,"False",9.58588957055215,"https://www.netimoveis.com/imovel/dummy/664540"
0,66,"False","False","False","False","True",0,"False","False","False",118,-19.9270588,-43.9340477,1,351,1000,"apartamento","False","False","centro",696562,1,"True",15.1515151515152,"https://www.netimoveis.com/imovel/dummy/696562"
0,66,"False","False","False","False","True",0,"False","False","False",118,-19.9270588,-43.9340477,1,351,1000,"apartamento","False","False","funcionarios",696562,1,"True",15.1515151515152,"https://www.netimoveis.com/imovel/dummy/696562"
1,60,"False","False","False","False","False",0,"False","False","False",118,-19.9210109,-43.9472818,2,500,1000,"apartamento","False","False","barro-preto",612708,0,"False",16.6666666666667,"https://www.netimoveis.com/imovel/dummy/612708"
1,60,"False","False","False","False","False",0,"False","False","False",118,-19.9210109,-43.9472818,2,500,1000,"apartamento","False","False","centro",612708,0,"False",16.6666666666667,"https://www.netimoveis.com/imovel/dummy/612708"
1,94,"False","False","False","False","True",0,"False","False","False",118,-19.8829289,-43.9194719,3,130,1000,"apartamento","False","False","cidade-nova",700569,1,"False",10.6382978723404,"https://www.netimoveis.com/imovel/dummy/700569"
1,94,"False","False","False","False","True",0,"False","False","False",118,-19.8829289,-43.9194719,3,130,1000,"apartamento","False","False","uniao",700569,1,"False",10.6382978723404,"https://www.netimoveis.com/imovel/dummy/700569"
1,50,"False","False","False","False","False",0,"False","False","False",118,-19.9000511,-43.9233142,2,220,1050,"apartamento","False","False","sagrada-familia",658484,0,"False",21,"https://www.netimoveis.com/imovel/dummy/658484"
1,59.73,"False","False","False","False","False",0,"False","True","False",118,-19.9374863,-43.9778593,2,240,1100,"apartamento","False","False","nova-suissa",689849,0,"False",18.4162062615101,"https://www.netimoveis.com/imovel/dummy/689849"
